id,decision,handout_entry,handout_section,others_page,others_quote,others_quote_check,topic,book_chapter,book_chapter_title,book_printed_page,book_pdf_file,book_pdf_page,fits_after,book_evidence,new_contribution,reason,central_review
PH-11,exclude,,,5,Triple therapy: 10-14 days ... Quadruple therapy ... Sequential therapy ... Followed by 4-6 weeks: PPI therapy,verbatim on page,Anti-H. pylori regimens,3,The Stomach and Duodenum,48,first-half,51,Anti H Pylori Therapy,Triple therapy: 10-14 days: Lansoprazole + Clarithromycin + Amoxicillin ... Quadruple therapy: 10–14 days ... Sequential therapy ... Followed by 4-6 weeks: PPI therapy to allow ulcer heal. N.B.: PPIs may be substituted by P-CABs,,duplicate: reproduced verbatim in book,confirmed
PH-12,exclude,,,5,Neutralize gastric acid (duration 1-2 hrs) ... pepsin is inactive at pH > 4.5 ... taken 1 and 3 hours after meals & at bedtime,verbatim on page,"Antacid actions, uses, drug interactions",3,The Stomach and Duodenum,48,first-half,51,Antacids > Pharmacological Actions / Drug Interactions,1. Neutralize gastric acid (duration 1-2 hrs). 2. Decrease peptic activity (pepsin is inactive at pH > 4.5) ... [p.49] Therapeutic Uses (taken 1 and 3 hours after meals & at bedtime) ... do not give antacids within 2 hrs from administration of these drugs,,duplicate: reproduced verbatim in book,confirmed
PH-13,exclude,,,6,Na HCO3 ... Ca+2 carbonate ... Milk-alkali syndrome ... Magaldarate,verbatim on page,Types and choice of antacids,3,The Stomach and Duodenum,49,first-half,52,Antacids > Types / Choice of antacids,Na HCO3 Advantages Rapid onset. Potent (↑ pH > 7) ... Milk-alkali syndrome (systemic alkalosis - hypercalcemia) ... (e.g. Magaldarate - to neutralize the effects of each other on bowel habit) ... Mg+2 antacids → CNS depression.,,duplicate: reproduced verbatim in book,confirmed
PH-14,exclude,,,6,Precautions to Avoid NSAIDs-induced Ulcer,verbatim on page,NSAID ulcer precautions,3,The Stomach and Duodenum,50,first-half,53,Precautions to Avoid NSAIDs-induced Ulcer,Precautions to Avoid NSAIDs-induced Ulcer 1. Use low doses and avoid combinations of NSAIDs ... 5. Use cautiously in the elderly.,,duplicate: reproduced verbatim in book,confirmed
PH-15,discrepancy,B3-D1,B · earlier-chapter additions,4,Synthetic PGE1 analog,verbatim on page,Misoprostol prostaglandin class,3,The Stomach and Duodenum,37,first-half,40,Gastritis and NSAIDs > Treatment,"Book p.37: 'co-prescribe daily cytoprotective prophylaxis via a PPI or Misoprostol (a synthetic prostaglandin E₂ analogue).' (Book p.48 pharmacology table reads 'Synthetic PGE1 analog', matching GIT others.)",GIT others p.4 calls misoprostol a synthetic PGE1 analog; book p.37 calls it a synthetic prostaglandin E2 analogue (book p.48 says PGE1).,Conflicting prostaglandin class; book is internally inconsistent (p.37 vs p.48),confirmed
PH-16,discrepancy,B3-D2,B · earlier-chapter additions,5,PPI + amoxicillin 1 g twice a day + levofloxacin 250 or 500 mg twice a day for 10 days,verbatim on page,Levofloxacin-based H. pylori regimen dosing,3,The Stomach and Duodenum,41,first-half,44,Eradication therapy > Rescue Therapy,"Book p.41: 'Implements quinolones (e.g., Levofloxacin 500 mg once daily + PPI + Amoxicillin) when standard first-line options fail.' (Book p.48 repeats GIT others wording verbatim: 'levofloxacin 250 or 500 mg twice a day for 10 days'.)",GIT others p.5 doses levofloxacin 250 or 500 mg twice daily for 10 days; book p.41 gives 500 mg once daily (book p.48 matches GIT others).,Different dosing frequency for the same regimen; book internally inconsistent (p.41 vs p.48),confirmed
PH-17,exclude,,,7,"Q1-Q6 (keys D,A,D,A,B,C): PPI advantages, enteric coating, timing before meals, H2 bioavailability, vonoprazan not prodrug, omeprazole blocks basal+meal secretion",summary (not verbatim),MCQ,3,The Stomach and Duodenum,45,first-half,48,Pharmacology of treatment of Gastritis and Peptic ulcer,"Keyed facts all in book pp.45-47 (e.g. 'Hypochlorhydria → ↑ Risk of infection', 'given in enteric-coated form', 'Not prodrug', '100% bioavailability (no 1st pass effect)')",,MCQ duplicate: keyed fact already in book,confirmed
PH-18,exclude,,,8,"Q7-Q10 (keys D,C,A,B): pantoprazole inhibits H+/K+ ATPase; famotidine blocks H2; PPI promotes healing; misoprostol diarrhea",summary (not verbatim),MCQ,3,The Stomach and Duodenum,45,first-half,48,Pharmacology of treatment of Gastritis and Peptic ulcer,'inhibits H+/K+ ATPase'; 'Followed by 4-6 weeks: PPI therapy to allow ulcer heal'; 'Diarrhea & colic (most common)',,MCQ duplicate: keyed fact already in book,confirmed
PH-19,exclude,,,9,"Q11-Q16 (keys D,D,C,A,B,A): sucralfate barrier; misoprostol NSAID-selective; bismuth ≤2 months; P-CAB PK; H2 nocturnal; clarithromycin",summary (not verbatim),MCQ,3,The Stomach and Duodenum,46,first-half,49,Pharmacology of treatment of Gastritis and Peptic ulcer,'→protective barrier'; 'Selective for NSAID-induced gastric ulcer if PPIs fail'; 'not give >2 months'; 'Potent inhibition of nocturnal or fasting',,MCQ duplicate: keyed fact already in book,confirmed
PH-20,exclude,,,10,"Q17-Q22 (keys D,B,C,D,C,A): bismuth anti-H. pylori; Mg diarrhea; PPI headache/dizziness/somnolence; NaHCO3 alkalosis; Al+Mg preferred; NaHCO3 rapid/potent",summary (not verbatim),MCQ,3,The Stomach and Duodenum,45,first-half,48,Pharmacology of treatment of Gastritis and Peptic ulcer,"'Anti- H pylori activity (main effect)'; 'Mg+2 Salts Disadvantage: diarrhea'; 'CNS: headache, dizziness, somnolence'; 'Systemic alkalosis on long term use'; 'Rapid onset. Potent'",,MCQ duplicate: keyed fact already in book,confirmed
PH-21,exclude,,,11,"Q23, Q26, Q27 (keys C,D,C): PPI 30 min before meals; vonoprazan reversible H+/K+ ATPase inhibitor; vonoprazan is a P-CAB",summary (not verbatim),MCQ,3,The Stomach and Duodenum,45,first-half,48,Pharmacology of treatment of Gastritis and Peptic ulcer,"'Should be taken 30 – 60 minutes before meals'; 'Competitive reversible PP inhibition'; 'Vonoprazan, revaprazan, tegoprazan'",,MCQ duplicate: keyed fact already in book,confirmed
PH-22,exclude,,,11,Q25 (key C): 'They block the potassium-binding site of the proton pump',summary (not verbatim),MCQ,3,The Stomach and Duodenum,46,first-half,49,Pharmacology of treatment of Gastritis and Peptic ulcer,'Potassium Competitive Acid Blockers (P-CAB) ... Competitive reversible PP inhibition' — K+-competitive action is the drug class's defining (named) mechanism,,MCQ duplicate: keyed fact already in book,confirmed
PH-23,exclude,,,12,Q28 (key A): 'P-CABs are more effective antisecretory drugs regardless food intake',summary (not verbatim),MCQ,3,The Stomach and Duodenum,46,first-half,49,Pharmacology of treatment of Gastritis and Peptic ulcer,'Acid stable (Taken before or after meals + Not need acid for activation)',,MCQ duplicate: keyed fact already in book,confirmed
PH-24,exclude,,,12,Q30 (key B): misoprostol increases mucosal blood flow through a vasodilator effect,summary (not verbatim),MCQ,3,The Stomach and Duodenum,48,first-half,51,Pharmacology of treatment of Gastritis and Peptic ulcer,'Synthetic PGE1 analog cytoprotective through: ... ↑ mucosal blood flow',,MCQ duplicate: keyed fact already in book,confirmed
PH-25,exclude,,,12,Q29 (key B): 'Excessive acid suppression leading to bacterial overgrowth.',summary (not verbatim),MCQ: over-suppression (P-CAB + H2 blocker) → bacterial overgrowth → diarrhea,5,Diarrhea and Malabsorption,88,first-half,91,Intestinal Bacterial Overgrowth,ch05 p.88 'Intestinal Bacterial Overgrowth ... HYPOCHLORHYDRIA Atrophic gastritis Proton-pump inhibitors'; ch03 p.45 'Hypochlorhydria → ↑ Risk of infection ... bacterial colonization',,MCQ duplicate: PPI/hypochlorhydria as cause of bacterial overgrowth already in book,confirmed
PH-26,include,B3-1,B · earlier-chapter additions,11,Which of the following is a potential long-term complication of chronic PPI use ... B. Osteoporosis. [Answer 24) B],verbatim on page,PPI long-term adverse effect: osteoporosis,3,The Stomach and Duodenum,45,first-half,48,1. Proton Pump Inhibitors > Adverse effects,"no mention found (grep -i: osteopor, fracture across ch*.txt — hits only in ch05/ch20/ch22/ch29 unrelated to PPIs); PPI adverse effects list p.45 ends at '4. Vitamin B12 deficiency (on long term use) 5. Enzyme inhibition'",Chronic (long-term) PPI use can cause osteoporosis.,Keyed MCQ answer (Q24 = B) explicitly given in GIT others; absent from the book's PPI adverse-effect list,confirmed
TU-01,exclude,,,13,Benign tumors of the esophagus are less common than malignant tumors. The most common are leiomyomas.,verbatim on page,Esophageal benign tumours,4,Pathology of GIT Tumours,71,first-half,74,Tumors of esophagus,Benign tumors of the esophagus are less common than malignant tumors. The most common are leiomyomas.,-,duplicate,confirmed
TU-02,exclude,,,13,2- Mesenchymal →(Sarcoma) e.g. Leiomyosarcoma (rare). Secondary Tumors (Rare in the esophagus),verbatim on page,Esophageal malignant tumour classification,4,Pathology of GIT Tumours,71,first-half,74,Tumors of esophagus,a. Carcinoma most common b. Lymphoma & other sarcomas rare,Leiomyosarcoma named as example sarcoma; secondaries rare.,low value; book already states sarcomas rare,confirmed
TU-03,exclude,,,13,"They present by esophageal obstruction, dysphagia, bleeding, or rarely, paraneoplastic syndrome. ... Prognosis ... (5 year cure rate about 10%).",verbatim on page,Esophageal carcinoma presentation/prognosis/diagnosis,4,Pathology of GIT Tumours,71,first-half,74,Tumors of esophagus,"They present by esophageal obstruction, dysphagia, bleeding, or rarely, paraneoplastic syndrome. Prognosis of esophageal carcinoma is usually poor (5 year cure rate about 10%)",-,duplicate (diagnosis by endoscopic biopsy/imaging also in Ch2 p.28-29),confirmed
TU-04,exclude,,,13,Squamous cell carcinoma - More prevalent worldwide 50% in middle 1/3 ... Adenocarcinoma - More common in USA - More in lower 1/3,verbatim on page,"SCC vs adenocarcinoma epidemiology, risk factors",4,Pathology of GIT Tumours,71,first-half,74,Carcinoma of esophagus,"Squamous cell carcinoma - More prevalent worldwide 50% in middle 1/3 ... Risk factors: long-standing esophagitis, achalasia, smoking, alcohol, diet (low vitamins and zinc), genetics",-,duplicate,confirmed
TU-05,exclude,,,13,1. Exophytic ... 2. Ulcerative type ... 3. Endophytic - Infiltrating (Schirrhous) ... (Is the least frequent type).,verbatim on page,Esophageal carcinoma gross,4,Pathology of GIT Tumours,71,first-half,74,Gross Pathology,"1. Exophytic (Polypoid or Fungating)... 3. Infiltrating (Schirrhous) tumor encircling the tube, also called (Annular)",-,duplicate,confirmed
TU-06,include,B4-1,B · earlier-chapter additions,14,The tumor is composed of islands of neoplastic squamous cells. with epithelial cell nests in differentiated tumor.,verbatim on page,Esophageal SCC microscopy,4,Pathology of GIT Tumours,71,first-half,74,Histopathology — 1. Squamous Cell Carcinoma,"no mention found (grep: islands, nests, pearl) — book: '1. Squamous Cell Carcinoma: Occur in >90 % of cases.'","Microscopically, esophageal SCC consists of islands of neoplastic squamous cells, with epithelial cell nests in differentiated tumours.",histologic description absent from Ch4 and Ch2,confirmed
TU-07,include,B4-2,B · earlier-chapter additions,14,Effects & Complication: Dysphagia. Perforation of ulcer with fatal haemorrhage. Hematemesis.,verbatim on page,Esophageal carcinoma complications,4,Pathology of GIT Tumours,71,first-half,74,"Histopathology (esophagus), new 'Effects & complications' line","no mention found (grep: fatal, perforation in tumour context); Ch2 p.28 lists dysphagia and 'Hematemesis: bleeding malignant tissues'","Complication: perforation of a malignant esophageal ulcer can cause fatal haemorrhage (dysphagia, hematemesis already in book).",only the perforation/fatal haemorrhage detail is incremental; also fits Ch2 clinical picture p.28,confirmed
TU-08,exclude,,,14,"Spread: Locally. Lymphatic. Blood, in late stage.",verbatim on page,Esophageal carcinoma spread,2,The Esophagus,27,first-half,30,Spread,B. Blood : late: to lung – liver – bone – brain.,-,duplicate,confirmed
TU-09,exclude,,,14,"Hyperplastic polyps (70%), Fundic gland polyps (20%), Adenomatous polyps (10%)... can be removed endoscopically",summary (not verbatim),Gastric polyps,4,Pathology of GIT Tumours,72,first-half,75,Gastric tumors — Benign Neoplasms,"1- Hyperplastic polyps (70%), 2- Fundic gland polyps (20%), 3- Adenomatous polyps (10%)...",-,duplicate,confirmed
TU-10,exclude,,,15,"Sex: male > female - Geography: Japan, Chile, Iceland - Age > 50. ... Blood group A = 20% increased risk",verbatim on page,Gastric adenocarcinoma epidemiology,4,Pathology of GIT Tumours,72,first-half,75,Gastric Adenocarcinoma — Predisposing factors,"Sex: male > female Geography: Japan, Chile, Iceland Age > 50 Blood group A = 20% increased risk",-,duplicate,confirmed
TU-11,exclude,,,15,"Related to the socio-economic factors. Genetic factors. Dietary factors: foods that may Generate nitrites (smoked foods, pickled vegetables and excessive salt intake).",verbatim on page,Gastric cancer diet/socio-economic,3,The Stomach and Duodenum,62,first-half,65,Predisposing factors,"Dietetic: spicy foods, excess salt intake, foods contain N-nitrosamine preservatives; Ch4 p72: diet (nitrites, smoked food, increased salt)",Pickled vegetables; socio-economic link.,duplicate in substance; residual items low value,confirmed
TU-12,include,B4-3,B · earlier-chapter additions,15,H. Pylori infection →Gastritis →Atrophic gastritis →Intestinal metaplasia → Dysplasia →Cancer. ... Precancerous lesions ... 1- Intestinal metaplasia ... 2- Peptic ulcer ... 3- Adenomatous polyp. 4- Chronic Gastritis,verbatim on page,H. pylori carcinogenic sequence / precancerous lesions,4,Pathology of GIT Tumours,72,first-half,75,Gastric Adenocarcinoma — Predisposing factors,"Intestinal-type ... chronic gastritis (H. pylori) ... On top of intestinal metaplasia; Ch3 p62: 'Benign gastric ulcer – gastric polyp'; no stepwise sequence found (grep: dysplasia, atrophic gastritis → )",Stepwise H. pylori pathway: gastritis → atrophic gastritis → intestinal metaplasia → dysplasia → gastric cancer; intestinal metaplasia is listed as a precancerous (dysplastic) lesion.,sequence absent; individual risk factors already in Ch3/Ch4,confirmed
TU-13,discrepancy,B3-D3,B · earlier-chapter additions,15,The favoured location is the Pyloric Region (50%). Followed by lesser curvature (25%).,verbatim on page,Gastric cancer site,3,The Stomach and Duodenum,62,first-half,65,Cancer stomach — Site,"Antrum, pyloric area → 60% Body: 15 % Fundus: 25%","GIT others: pyloric region 50%, then lesser curvature 25%. Book: antrum/pyloric 60%, body 15%, fundus 25%.",different site percentages (others p.15 vs book Ch3 p.62); Ch4 has no site data,confirmed
TU-14,exclude,,,16,Early gastric cancer... Late gastric cancer ... (1) Exophytic ... (3) Diffusely infiltrating ... linitis plastica,verbatim on page,"Gastric cancer gross (early/late, exophytic, linitis)",4,Pathology of GIT Tumours,72,first-half,75,Grossly it may appear as,"Early gastric cancer. defined as gastric carcinoma restricted to the mucosa and submucosa ... (1) Fungating mass ... (3) Diffusely infiltrating lesion ... (linitis plastica, or leather bottle stomach)",-,duplicate,confirmed
TU-15,include,B4-5,B · earlier-chapter additions,16,"(2) Ulcerative: the ulcer is more than 5 cm, with everted edge, necrotic floor and firm base.",verbatim on page,Malignant gastric ulcer size,4,Pathology of GIT Tumours,72,first-half,75,Late gastric cancer — (2) Malignant ulcer,"(2) Malignant ulcer with raised, everted edges","The malignant ulcerative form of late gastric cancer is typically >5 cm, with necrotic floor and firm base.",size (>5 cm) and floor/base description absent,confirmed
TU-16,include,B4-4,B · earlier-chapter additions,16,Lauren Classification: Intestinal Type →(53%). Diffuse Type →(33%). Unclassified →(14%).,verbatim on page,Lauren classification,4,Pathology of GIT Tumours,72,first-half,75,It may take one of two types,It may take one of two types 1- Intestinal-type ... Diffuse-type (no Lauren name/percentages; grep: lauren),"The two types belong to the Lauren classification: intestinal ~53%, diffuse ~33%, unclassified ~14%.",name and relative frequencies absent,confirmed
TU-17,exclude,,,16,Intestinal-type: Risk factors: diet ... On top of intestinal metaplasia. Glandular morphology. Diffuse-type: Undefined risk factors ... Signet cell morphology,summary (not verbatim),Intestinal vs diffuse type,4,Pathology of GIT Tumours,72,first-half,75,Intestinal-type / Diffuse-type,"Risk factors: diet (nitrites, smoked food, increased salt)... On top of intestinal metaplasia ... Signet cell morphology",-,duplicate,confirmed
TU-18,exclude,,,16,"A) Direct spread ... (esophagus, duodenum, omentum, liver & rarely to the spleen). B) Lymphatic ... Greater & Lesser Curvatures, Para Aortic & Supra-clavicular",verbatim on page,Gastric cancer direct/lymphatic spread,3,The Stomach and Duodenum,62,first-half,65,Spread,"infiltrates the nearby structures as spleen, liver, colon and pancreas; Left gastric, right gastric, gastro-epiploic, pyloric L.N. Celiac L.N. → Thoracic duct → left supraclavicular",Duodenum/omentum; para-aortic nodes.,largely duplicate; residual items low value,confirmed
TU-19,include,B4-6,B · earlier-chapter additions,16,"C) Blood stream to the Liver, Lung, Bone, Brain.",verbatim on page,Gastric cancer blood spread,4,Pathology of GIT Tumours,73,first-half,76,Spread of gastric carcinoma — Blood spread,Blood spread: . Liver (Ch3 p62: Blood spread mainly to the liver (portal circulation)),"Beyond the liver, blood-borne gastric cancer metastases reach lung, bone and brain.",book lists liver only for gastric cancer,confirmed
TU-20,exclude,,,16,D) Transcoelomic implantation over the peritoneal surface to the Ovary (Krukenberg tumor).,verbatim on page,Krukenberg,4,Pathology of GIT Tumours,73,first-half,76,Spread of gastric carcinoma,"Transcoelomic, ovary (Krukenberg) , peritoneal implants",-,duplicate,confirmed
TU-21,exclude,,,17,Tumors of all types are not very common in small intestine. Epithelial tumors are Common in large intestine.,verbatim on page,Small intestinal tumours,4,Pathology of GIT Tumours,73,first-half,76,Tumors of the Colon and Rectum,no mention found (grep: small intestine tumour),-,low value general statement,confirmed
TU-22,exclude,,,17,"Benign Tumors 1. Familial Polyposis Syndrome. 2. Adenoma (Tubular, Villous, Tubulo-villous) Malignant 1- Carcinoma 2- Lymphoma & sarcoma",verbatim on page,Large-bowel tumour classification,4,Pathology of GIT Tumours,73,first-half,76,Tumors of the Colon and Rectum,1- Tubular adenomas ... 2- Tubulo -villous ... 3- Villous; p74: I- Epithelial Adenocarcinoma ... II- Mesenchymal - GIST - Lymphoma,-,duplicate,confirmed
TU-23,include,B4-7,B · earlier-chapter additions,17,Age > 60. More common in large intestine. There is a well-defined familial predisposition. Predispose to colorectal Carcinoma,verbatim on page,Colonic adenoma epidemiology,4,Pathology of GIT Tumours,73,first-half,76,Neoplastic adenomatous polyp of the colon,Adenomas of the colon are present in 20–30% of all individuals over the age of 50 years. (grep: familial predisposition — none),Colonic adenomas show a well-defined familial predisposition (and predispose to colorectal carcinoma).,"Central review: include the familial predisposition only. The GIT Others 'Age > 60' is left out because the book already gives adenoma prevalence (20-30% over age 50), and adding it would confuse rather than add.",changed
TU-24,exclude,,,17,Tubular adenomas ... over 90% ... 10–20 lesions ... pedunculated ... dysplastic (hyperchromatic and stratified ...),verbatim on page,Tubular adenoma features,4,Pathology of GIT Tumours,73,first-half,76,Tubular adenoma,"Tubular adenomas account for over 90% of colonic adenomas. They are commonly multiple, with 10–20 lesions ... The epithelial cells are dysplastic",-,duplicate,confirmed
TU-25,include,B4-8,B · earlier-chapter additions,18,"Villous Adenomas ... Large > 2cm, Solitary, Sessile ... Tubular Adenomas ... Small < 1cm, Multiple, Pedunculated ... Dysplasia & cancer is rare.",summary (not verbatim),Tubular vs villous: size & malignant risk,4,Pathology of GIT Tumours,73,first-half,76,Villous Adenoma / Tubular adenoma,"Villous adenomas are uncommon ... single large, sessile lesion (no sizes or cancer-risk comparison found; grep: 2 cm, 1cm, 40%)","Size criteria: villous adenomas usually >2 cm, tubular <1 cm. Dysplasia/cancer is rare in tubular adenomas but high (~40%) in villous adenomas (GIT others ties the 40% to villous adenomas >4 cm in its table).",sizes and comparative malignant risk absent; note source itself states 40% both generally (text) and for >4 cm (table),changed
TU-26,exclude,,,18,"3- Tubulo-villous adenomas: Pedunculated, Composed of a mix of tubular & villous areas.",verbatim on page,Tubulovillous adenoma,14,Polyposis of Colon,190,first-half,193,Tubulo-villous adenoma,Tubulo-villous adenoma: characteristics in-between the tubular and villous adenoma.,-,duplicate in substance,confirmed
TU-27,exclude,,,18,Colonic adenomas are associated with genetic mutations identical to those seen in colon cancer...,verbatim on page,Adenoma mutations; inherited polyposis syndromes list,4,Pathology of GIT Tumours,73,first-half,76,Neoplastic adenomatous polyp of the colon,Colonic adenomas are associated with genetic mutations identical to those seen in colon cancer...,-,duplicate,confirmed
TU-28,exclude,,,19,"Autosomal dominant ... Average onset is 25 years ... A minimum number of 100 ... chromosome 5q21, APC ... virtually 100% will develop cancer within 10 to 15 years unless a prophylactic colectomy",verbatim on page,FAP core facts,4,Pathology of GIT Tumours,74,first-half,77,Familial Adenomatous Polyposis (FAP),"Autosomal dominant - average onset is 25 years old ... Minimum of 100 polyps ... 5q21, APC ... virtually 100% will develop cancer within 10 to 15 years; Ch14 p192: Surgery is mandatory",-,duplicate,confirmed
TU-29,include,B14-1,B · earlier-chapter additions,19,Most polyps are tubular adenoma.,verbatim on page,FAP polyp histology,14,Polyposis of Colon,190,first-half,193,Familial Polyposis Coli — These are adenomatous polyps,These are adenomatous polyps. (grep: tubular adenoma in FAP context — none),"In FAP, most of the polyps are tubular adenomas.",histologic subtype of FAP polyps absent,confirmed
TU-30,include,A15-1,A · after mid-module,19,A great majority (98%) of all cancers in the large intestine are adenocarcinoma.,verbatim on page,Proportion adenocarcinoma,15,Colorectal Cancer,196,first-half,199,Microscopic picture — Adenocarcinoma,More than 90% of colorectal carcinomas are adenocarcinomas,Adenocarcinoma accounts for ~98% of large-intestinal cancers (more precise than book's '>90%').,"more precise figure; compatible with book, not contradictory",confirmed
TU-31,discrepancy,A15-D1,A · after mid-module,19,Prevalent in males twice as common as in females. Age of 50-70 years.,verbatim on page,Colorectal carcinoma age,15,Colorectal Cancer,196,first-half,199,Adenocarcinoma — Incidence,Primarily occurs in patients between 60 and 79 years of age,GIT others p.19: age 50–70 years (its own p.20 repeats 60–79). Book Ch4 p.74: 60–79 years; Ch15 p.196: 'old age'.,"Central review: placed in Ch 15 (the colorectal teaching chapter, which has an 'Age' heading on p.196). Also cites Ch 4 p.74 (60-79). GIT Others p.19 (50-70) contradicts its own p.20 (60-79).",changed
