handout,handout_name,row_id,original_entry,original_decision,chapter,topic,book_printed_pages,source_pages,integrated_disposition,integrated_ids,detail
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-37,C1-35/36/37,include,1,Small bowel enema (enteroclysis),9,GIT Internal Med p. 9,retained,E01.09,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-38,,duplicate/exclude,1,Barium enema and water-soluble contrast,9,GIT Internal Med p. 9,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-01,,duplicate/exclude,1,Definitions of hematemesis/melena; melena source proximal to right colon,"4, 50",GIT Internal Med p. 37,excluded by original handout,,Definitions and proximal-to-right-colon rule already in MAIN; IM's parenthetical 'ligament of Teriz' is garbled and not added.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-01,,duplicate/exclude,2,Esophageal structure,11,GIT Internal Med p. 10,excluded by original handout,,Verbatim duplicate; IM figure is an unlabelled-content anatomy sketch already represented by MAIN Fig 2.1.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-02,,duplicate/exclude,2,Dysphagia progression and causes; odynophagia; heartburn; regurgitation,11-12,GIT Internal Med p. 10,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-03,,duplicate/exclude,2,Signs and investigations,12-13,GIT Internal Med p. 11,excluded by original handout,,"Fully covered, including figures; IM manometry trace carries no additional explained content."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-04,,duplicate/exclude,2,GERD pathophysiology/risk/clinical,13-14,GIT Internal Med p. 12,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-05,,duplicate/exclude,2,GERD diagnosis and reflux vs ischaemic pain,14,GIT Internal Med p. 12,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-06,,duplicate/exclude,2,"GERD treatment (simple measures, drugs, GERDX, ARMA, surgery) and peptic stricture",15,GIT Internal Med p. 13,excluded by original handout,,"Fully covered; IM p13 figure is the plication device, same content as text."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-07,,duplicate/exclude,2,Barrett's esophagus,15-16,GIT Internal Med p. 14,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-08,,duplicate/exclude,2,Benign stricture,16,GIT Internal Med p. 14,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-09,,duplicate/exclude,2,Esophageal infections,16,GIT Internal Med p. 14,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-10,,duplicate/exclude,2,Hiatus hernia classification and risk factors,17,GIT Internal Med p. 15,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-11,,duplicate/exclude,2,Sliding hiatus hernia clinical features,17-18,GIT Internal Med p. 15,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-12,,duplicate/exclude,2,Hiatus hernia investigations,18-19,GIT Internal Med p. 16,excluded by original handout,,"Fully covered, including both images."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-13,,duplicate/exclude,2,Lifestyle and drug treatment,19,GIT Internal Med p. 16-17,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-14,C2-14,include,2,Surgical indications for hiatus hernia/GERD,20,GIT Internal Med p. 17,retained,E02.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-15,,duplicate/exclude,2,Aims of surgery and fundoplication technique,20,GIT Internal Med p. 17,excluded by original handout,,MAIN covers all and more.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-16,,duplicate/exclude,2,Complications of fundoplication,21,GIT Internal Med p. 17,excluded by original handout,,MAIN is more detailed.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-17,,duplicate/exclude,2,Achalasia definition to complications,21,GIT Internal Med p. 18,excluded by original handout,,"Fully covered; IM 'mesenteric' is a wording slip, not a substantive discrepancy worth flagging."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-18,,duplicate/exclude,2,Achalasia investigations,22-23,GIT Internal Med p. 19,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C2-19,,duplicate/exclude,2,Achalasia management,23-24,GIT Internal Med p. 20,excluded by original handout,,MAIN covers all and more.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-01,,duplicate/exclude,3,"Gastric regions, sphincters, secretory cells, Brunner's glands",34-35,GIT Internal Med p. 21,excluded by original handout,,Fully covered in MAIN.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-02,C3-02/03,include,3,Gastric mucus composition,35,GIT Internal Med p. 21,retained,E03.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-03,C3-02/03,include,3,Role of gastric acid and other gastric functions,35,GIT Internal Med p. 22,retained,E03.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-04,,duplicate/exclude,3,Neural/hormonal regulation of acid via histamine; somatostatin,35,GIT Internal Med p. 22,excluded by original handout,,Covered (MAIN phrasing slightly fuller).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-05,C3-05/06,include,3,Classification of gastritis and causes of gastropathy,35,GIT Internal Med p. 23,retained,E03.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-06,C3-05/06,include,3,Causes of gastritis list,35-36,GIT Internal Med p. 23,retained,E03.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-07,,duplicate/exclude,3,"Acute gastritis definition, erosive progression, etiology (NSAIDs/PGE2, stress, alcohol, caffeine, smoke, H. pylori)",35-36,GIT Internal Med p. 23-24,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-08,C3-08/09/11,include,3,Stress gastritis settings,"36, 42","GIT Internal Med p. 24, 32",retained,E03.03,E03.03: IM C3-11's treatment bullet moved into E03.07 (overlap with C3-23; audit B W1).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-09,C3-08/09/11,include,3,Natural history: acute to chronic gastritis,"36, 42",GIT Internal Med p. 24,retained,E03.03,E03.03: IM C3-11's treatment bullet moved into E03.07 (overlap with C3-23; audit B W1).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-10,,duplicate/exclude,3,Symptoms and diagnosis of acute gastritis,36,GIT Internal Med p. 24-25,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-11,C3-08/09/11,include,3,Treatment of acute gastritis: H2 blocker and specific risk-factor removal,36,GIT Internal Med p. 25,retained,E03.07,E03.07: Merged IM C3-11 treatment bullet with IM C3-23 (both: drug options for acute/erosive gastritis; audit B M2).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-12,,duplicate/exclude,3,"Autoimmune gastritis mechanism, B12, iron, gastrin/ECL, pepsinogen, diagnosis","38, 42",GIT Internal Med p. 26,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-13,C3-13,discrepancy/needs review,3,Site label of autoimmune gastritis: 'pangastritis',"38, 42",GIT Internal Med p. 26,review point,R01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-14,C3-14,include,3,Intestinal metaplasia in atrophic gastritis,"38, 42, 72",GIT Internal Med p. 26,retained,E03.04,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-15,,duplicate/exclude,3,"H. pylori biology, epidemiology, pathogenesis, DU/GU mechanisms, gastric cancer and MALT",38-40,GIT Internal Med p. 27-28,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-16,,duplicate/exclude,3,H. pylori testing indications and tests,40-41,GIT Internal Med p. 29-30,excluded by original handout,,Covered; IM figures are decorative (urea breath test diagram also in MAIN Fig 3.4).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-17,C3-17,discrepancy/needs review,3,Triple therapy: duration and place in therapy,"41, 48",GIT Internal Med p. 31,review point,R03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-18,C3-18/19,include,3,Principles of eradication regimens; resistance; metronidazole side-effects,"41, 48",GIT Internal Med p. 31,retained,E03.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-19,C3-18/19,include,3,Who should receive eradication,"40, 48, 52",GIT Internal Med p. 31,retained,E03.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-20,,duplicate/exclude,3,"Bismuth quadruple, quinolone rescue, reinfection in developing countries",41,GIT Internal Med p. 31,excluded by original handout,,"Covered; quinolone rescue taught in MAIN (example drug differs - ciprofloxacin in IM, levofloxacin in MAIN - but both are given only as examples of the class)."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-21,C3-21/27,include,3,Erosive and haemorrhagic gastritis: mechanism and chronic silent course,36-37,GIT Internal Med p. 32,retained,E03.06,E03.06: Trimmed the sentence on NSAID burden in the elderly: already on book p. 36 (audit B §5.1).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-22,,duplicate/exclude,3,Erosive gastritis clinical picture and endoscopy,"36, 50-51",GIT Internal Med p. 32,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-23,C3-23,include,3,Sucralfate in erosive gastritis,48,GIT Internal Med p. 32,retained,E03.07,E03.07: Merged IM C3-11 treatment bullet with IM C3-23 (both: drug options for acute/erosive gastritis; audit B M2).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-24,,duplicate/exclude,3,"PUD definition, erosion vs ulcer, sites, epidemiology, ZES",42-44,GIT Internal Med p. 33,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-25,,duplicate/exclude,3,PUD clinical features and investigation,43-44,GIT Internal Med p. 34,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-26,,duplicate/exclude,3,"NSAID mechanism, COX-1/COX-2, COX-2 inhibitors, figure",36-37,GIT Internal Med p. 35,excluded by original handout,,"Covered, including the figure."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-27,C3-21/27,include,3,How often NSAID users get GI problems,36,GIT Internal Med p. 35,retained,E03.06,E03.06: Trimmed the sentence on NSAID burden in the elderly: already on book p. 36 (audit B §5.1).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-28,,duplicate/exclude,3,Treatment and prophylaxis of NSAID ulcers,37,GIT Internal Med p. 36,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C3-29,,duplicate/exclude,3,Forrest classification endoscopic images,50-52,GIT Internal Med p. 35,excluded by original handout,,Image labels only with no explanatory text on this page; any Forrest content belongs to the GI-bleeding comparison.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-02,,duplicate/exclude,3,Dark blood and clots without shock = lower GI source,"4, 50",GIT Internal Med p. 37,excluded by original handout,,Upper-GI half is covered; the converse bedside rule (dark blood/clots without shock) is incremental.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-03,GB-03,include,3,Low-dose aspirin; corticosteroids; anticoagulants,"36, 50",GIT Internal Med p. 37,retained,E03.09,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-04,GB-04/31,include,3,Who to admit; spontaneous cessation,50,GIT Internal Med p. 37-38,retained,E03.10,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-05,GB-05/06,include,3,ABCDE details,50,GIT Internal Med p. 38,retained,E03.11,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-06,GB-05/06,include,3,Focused history in unstable bleed,"36, 50",GIT Internal Med p. 38,retained,E03.11,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-07,GB-07/08/09/11,include,3,"Monitoring, bloods, IV access, fluids",50-51,GIT Internal Med p. 39,retained,E03.12,"E03.12: Hb < 10 'mg/dl' transfusion threshold moved to review point R05 (conflicts with book pp. 51, 315). Sentence 'Hb falls late…' trimmed (book p. 51 has it). NG-tube bullet kept as GIT Internal Med's practice for non-variceal bleeding with cross-reference to R33. Antiplatelet bullet moved to E03.16."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-08,GB-07/08/09/11,include,3,Guides to transfusion adequacy; CVP; indications; overload,50-51,GIT Internal Med p. 39,retained + review point,"E03.12, R05","E03.12: Hb < 10 'mg/dl' transfusion threshold moved to review point R05 (conflicts with book pp. 51, 315). Sentence 'Hb falls late…' trimmed (book p. 51 has it). NG-tube bullet kept as GIT Internal Med's practice for non-variceal bleeding with cross-reference to R33. Antiplatelet bullet moved to E03.16.; R05: New review point raised in integration: GIT Internal Med's Hb < 10 threshold vs book pp. 50–51 (and p. 315)."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-09,GB-07/08/09/11,include,3,Oxygen; nasogastric tube; NPO,50,GIT Internal Med p. 39,retained + review point,"E03.12, R33","E03.12: Hb < 10 'mg/dl' transfusion threshold moved to review point R05 (conflicts with book pp. 51, 315). Sentence 'Hb falls late…' trimmed (book p. 51 has it). NG-tube bullet kept as GIT Internal Med's practice for non-variceal bleeding with cross-reference to R33. Antiplatelet bullet moved to E03.16.; R33: Extended with GIT Internal Med's nasogastric uses (pp. 40, 46) as context; kept in Chapter 3 with cross-references."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-10,,duplicate/exclude,3,"Urgent endoscopy, re-endoscopy, IR, surgery; multidisciplinary",50-51,GIT Internal Med p. 39-40,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-11,GB-07/08/09/11,include,3,Drugs to stop; care setting,50,GIT Internal Med p. 40,retained,"E03.12, E03.16","E03.12: Hb < 10 'mg/dl' transfusion threshold moved to review point R05 (conflicts with book pp. 51, 315). Sentence 'Hb falls late…' trimmed (book p. 51 has it). NG-tube bullet kept as GIT Internal Med's practice for non-variceal bleeding with cross-reference to R33. Antiplatelet bullet moved to E03.16.; E03.16: New merged entry: IM GB-11 antiplatelet bullet + IM GB-22 PCI bullet (audit B M3); 'stopping antiplatelets carries a high risk' trimmed because book p. 50 already states the thrombosis risk."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-12,GB-12,include,3,Endoscopy yield; stigmata of recent bleeding,51,GIT Internal Med p. 40,retained,E03.13,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-13,GB-13/14/15/16,include,3,Number and choice of haemostatic methods,51,GIT Internal Med p. 40,retained,E03.14,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-14,GB-13/14/15/16,include,3,Injection therapy technique,51,GIT Internal Med p. 41,retained,E03.14,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-15,GB-13/14/15/16,include,3,Thermal therapy settings,51,GIT Internal Med p. 41,retained,E03.14,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-16,GB-13/14/15/16,include,3,Mechanical clips,51,GIT Internal Med p. 42,retained,E03.14,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-17,,duplicate/exclude,3,IV omeprazole; uncontrolled bleeding pathway,51,GIT Internal Med p. 42,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-18,,out of scope,3,"Oesophageal varices: epidemiology, primary prophylaxis, acute management, rebleeding, secondary prevention",51,GIT Internal Med p. 42-44,excluded by original handout,,Portal hypertension/varices belong to MAIN's later Portal Hypertension chapter; the brief banding mention in IM p40 is already duplicated on MAIN p51. Its variceal-bleeding text (GIT Internal Med p. 43) is cited in review points R32 and R34.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-19,GB-19/20/21/22,include,3,Mallory-Weiss tear,51-52,GIT Internal Med p. 45,retained,E03.15,E03.15: IM GB-22's PCI bullet moved to E03.16.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-20,GB-19/20/21/22,include,3,Post-bleed ulcer care,52,GIT Internal Med p. 45,retained,E03.15,E03.15: IM GB-22's PCI bullet moved to E03.16.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-21,GB-19/20/21/22,include,3,Bleeding gastric carcinoma,50,GIT Internal Med p. 45,retained,E03.15,E03.15: IM GB-22's PCI bullet moved to E03.16.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-22,GB-19/20/21/22,include,3,Bleeding after PCI,50,GIT Internal Med p. 45,retained,E03.16,E03.16: New merged entry: IM GB-11 antiplatelet bullet + IM GB-22 PCI bullet (audit B M3); 'stopping antiplatelets carries a high risk' trimmed because book p. 50 already states the thrombosis risk.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-23,,duplicate/exclude,3,Dieulafoy lesion,52,GIT Internal Med p. 45,excluded by original handout,,Covered; 'developmental' label is trivial.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-24,,duplicate/exclude,3,Causes and ABCDE start; stable-patient workup,52,GIT Internal Med p. 46,excluded by original handout,,Fully covered including the figure.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-25,GB-25/26/27,include,3,Nasogastric lavage to exclude upper source; unstable pathway,52,GIT Internal Med p. 46,retained + review point,"E03.17, R33","E03.17: IM GB-25 nasogastric lavage attributed to GIT Internal Med with cross-reference to R33.; R33: Extended with GIT Internal Med's nasogastric uses (pp. 40, 46) as context; kept in Chapter 3 with cross-references."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-26,GB-25/26/27,include,3,CT abdomen/pelvis in stable patient,52,GIT Internal Med p. 46,retained,E03.17,E03.17: IM GB-25 nasogastric lavage attributed to GIT Internal Med with cross-reference to R33.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-27,GB-25/26/27,include,3,Investigation choice; angiography yield; young patients; surgery rarely,52-53,GIT Internal Med p. 47,retained,E03.17,E03.17: IM GB-25 nasogastric lavage attributed to GIT Internal Med with cross-reference to R33.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-28,GB-28/29,include,3,Chronic GI bleeding: who and what to exclude; occult blood; varices; hookworm,53,GIT Internal Med p. 48,retained,E03.18,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-29,GB-28/29,include,3,Investigation details,53,GIT Internal Med p. 48,retained,E03.18,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-30,,duplicate/exclude,3,Treatment of chronic bleeding,53,GIT Internal Med p. 48,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),GB-31,GB-04/31,include,3,Prognosis,50-53,GIT Internal Med p. 48,retained,E03.10,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C4-00,,no substantive additions,4,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-01,,duplicate/exclude,5,Intestinal fluid load and absorption; fecal electrolytes; Na+/Cl- roles,77-78,GIT Internal Med p. 49,excluded by original handout,,Verbatim duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-02,C5-02/03,include,5,Why water moves: coupling to active solute transport,77-78,GIT Internal Med p. 49,retained,E05.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-03,C5-02/03,include,5,Sources of the ~9 L daily intestinal fluid load,77,GIT Internal Med p. 49,retained,E05.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-04,C5-04,include,5,Digestive enzymes by source; brush-border end products,78,GIT Internal Med p. 50,retained,E05.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-05,,duplicate/exclude,5,Gastric juice components; fat handling; overall digestive/absorptive process,"35, 78",GIT Internal Med p. 50,excluded by original handout,,Covered by MAIN text and Figure 5.1; IM protein-figure percentages not legible enough to cite.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-06,,duplicate/exclude,5,Bile acid synthesis/functions; defects affecting bile acids table,78,GIT Internal Med p. 51,excluded by original handout,,Verbatim duplicate.
