id,source_pages_hapatology,source_excerpt,topic,book_chapter,book_printed_pages,book_has,new_contribution,evidence_type,agent_decision,final_decision,reason,handout_location
A-11,5,"Liver is the site of synthesis of albumin, all clotting factors (except factor VIII), carrier proteins (As ceruloplasmin, transferrin), cholesterol, bile salts and urea.",Synthetic and detoxification functions of the liver,18 Liver Disease Assessment,"238, 244","not found (searched: factor VIII, transferrin [only haemochromatosis], urea [only HE treatment], ammonia [HE only], synthesis)","The liver synthesises albumin, all clotting factors except factor VIII, carrier proteins such as ceruloplasmin and transferrin, cholesterol, bile salts and urea, and detoxifies ammonia and other toxic substances.",text,include,include,Framing statement for LFTs absent; 'all except factor VIII' is a useful exam point.,Ch 18 · Liver function tests
A-12,5,Reduction of serum albumin provide an excellent indicator of severity and prognosis of chronic liver disease.,Albumin as prognostic marker,18 Liver Disease Assessment,"238, 244, 286","p244 albumin half-life, decreased only in chronic disease with severe cell destruction; albumin is in Child-Pugh table p286 but prognostic statement not found (searched: albumin, prognosis)",A falling serum albumin is an excellent indicator of the severity and prognosis of chronic liver disease.,text,include,include,Explicit prognostic role not stated in Ch 18.,Ch 18 · Liver function tests
A-13,"5, 6","In liver cirrhosis, there is mild to moderate elevation of ALT and AST (2-5 folds). The rise of AST is more than ALT","Aminotransferases, ALT/AST ratio, immunoglobulins",18 Liver Disease Assessment,"238, 244",p244 reproduces verbatim incl. half-lives 17 h/47 h and polyclonal gammaglobulin,-,text,exclude,exclude,Covered verbatim.,
A-14,6,"In cholestasis (obstructive jaundice) and space occupying lesions in liver (As in cancer), there is marked elevation of these enzymes (more than 3 folds).",ALP/GGT in space-occupying lesions,18 Liver Disease Assessment,245,"p245: marked (>3-fold) elevation in cholestasis only; no mention of SOL (searched: space occupying, ALP, cancer)","ALP and GGT are also markedly raised (>3-fold) with space-occupying lesions of the liver such as cancer, not only in cholestasis.",text,include,include,SOL cause omitted in book's copy of same paragraph.,Ch 18 · Liver function tests
A-15,6,"The latter (ALP) is also elevated in non-hepatic disorders as bone diseases (rickets ,osteomalacia).",ALP in bone disease: examples,18 Liver Disease Assessment,245,p245: 'elevated in non-hepatic disorders as bone diseases' (no examples),Non-hepatic ALP rises occur in bone diseases such as rickets and osteomalacia.,text,include,include,Minor specificity; examples omitted in book.,Ch 18 · Liver function tests
A-16,6,Another enzyme called 5'nucleotidase is more specific for cholestasis than ALP but its use is not popular.,5'-nucleotidase,18 Liver Disease Assessment,245,not found (searched: nucleotidase),5'-nucleotidase is more specific for cholestasis than ALP but is not widely used.,text,include,include,Absent from book.,Ch 18 · Liver function tests
A-17,7,Due to deconjugate most of bilirubin by gut bacteria B-glucuronidases.,Bilirubin processing enzymes,18 Liver Disease Assessment,245,"p245: gut bacteria deconjugate bilirubin (enzyme not named); UDGT named only under Crigler-Najjar (searched: glucuronidase, glucuronosyl)","Conjugation of bilirubin to glucuronic acid is by UDP-glucuronosyl transferase, and gut bacterial beta-glucuronidases deconjugate it before conversion to urobilinogen.",text,include,include,Small mechanistic detail absent.,Ch 18 · Bilirubin and bile-acid metabolism
A-18,7,"Bile acids (cholic&chenodeoxy cholic acids) are derived from cholesterol and secreted in bile. Most of them are reabsorbed, especially in the ileum",Bile acids and enterohepatic circulation,18 Liver Disease Assessment,245,"not found (searched: cholic, chenodeoxy, bile acid, enterohepatic [only urobilinogen p245])","The primary bile acids, cholic and chenodeoxycholic acid, are made from cholesterol, secreted in bile, and mostly reabsorbed in the ileum and returned to the liver for re-secretion (enterohepatic circulation).",text,include,include,Absent from Ch 18 and Ch 34 search.,Ch 18 · Bilirubin and bile-acid metabolism
A-19,7,[figure] Unconjugated bilirubin transported with ligandin or Z protein; conjugated to glucuronic acid,Intrahepatic bilirubin carrier proteins,18 Liver Disease Assessment,"245, 392","not found (searched: ligandin, Z protein); Fig 35.3 p392 omits carriers","Within the hepatocyte, unconjugated bilirubin is carried by ligandin or Z protein before conjugation.",image-figure,include,include,Image-only detail from the source's bilirubin-metabolism diagram.,Ch 18 · Bilirubin and bile-acid metabolism
A-20,7,"Conjugated = direct bilirubin: water soluble, non toxic, and only loosely bound to albumin",Conjugated bilirubin non-toxic,18 Liver Disease Assessment,245,"p245: water soluble, loosely bound, excreted in urine ('non toxic' absent)",-,text,exclude,exclude,Trivial addition.,
A-21,8,Crigler-Najjar syndrome type 11: Partial deficiency of UGT. Bilirubin less than 20 mg/dl.,Crigler-Najjar type II,18 Liver Disease Assessment,"245, 350, 354","p245 describes only severe form (type 1, >20 mg/dl); p350/354 name 'Crigler-Najjar syndromes' without types (searched: Crigler, type II, type 2)","Crigler-Najjar type II is due to partial UGT deficiency, with bilirubin below 20 mg/dL (unlike type I, complete absence, >20 mg/dL).",text,include,include,Type II absent.,Ch 18 · Types of jaundice
A-22,8,"Dobin Jonson syndrome: hereditary disorder of bilirubin secretion, Liver is darkly pigmented. Rotor Syndrome: usually asymptomatic, Liver is not pigmented.",Dubin-Johnson vs Rotor,18 Liver Disease Assessment,"246, 350, 354","p246/p350 name Dubin-Johnson; Rotor only in Fig 29.1 p354; no pigmentation distinction (searched: Rotor, pigmented, Dubin)","Dubin-Johnson syndrome (hereditary defect of bilirubin secretion) has a darkly pigmented liver, whereas Rotor syndrome is usually asymptomatic with a non-pigmented liver.",text,include,include,Distinguishing feature absent.,Ch 18 · Types of jaundice
A-23,8,"Intrahepatic due to: hepatic malignancy or infiltration, primary biliary cirrhosis , biliary atresia, cholangitis and drugs (chlorpromazine and some steroids)",Causes of intra/extrahepatic cholestasis,29 Jaundice,"246, 352, 390","p352 lists PBC, PSC, drugs incl. chlorpromazine, steroids; p390 biliary atresia, cancer head of pancreas, LN compression",-,text,exclude,exclude,Covered across Ch 29/35.,
A-24,8,Gilbert syndrome... Bilirubin level is increased but rarely exceeds 5 mg/dl.,Gilbert syndrome,18 Liver Disease Assessment,"245, 351",p245 verbatim; p351 more detail,-,text,exclude,exclude,Covered.,
A-25,9,toxic hepatitis due to some drugs (halothan and paracetamol).,Drug causes of hepatic jaundice: halothane,29 Jaundice,"246, 351",p351 'Drug toxicity'; paracetamol covered in Ch 31; halothane not found (searched: halothan),Toxic hepatitis from drugs such as halothane and paracetamol causes mixed (hepatic) hyperbilirubinaemia.,text,include,include,Halothane not named anywhere in book; small addition.,Ch 29 · Approach
A-26,9,"Hemolysis:↑reticulocytes, increased LDH.",Hemolytic jaundice: LDH,18 Liver Disease Assessment,"245, 246","p246: evidence of hemolysis '↑reticulocytes' only; LDH only in pancreatitis (searched: LDH, lactate dehydrogenase)","In haemolytic jaundice, evidence of haemolysis includes raised reticulocytes and raised LDH.",text,include,include,LDH omitted.,Ch 18 · Types of jaundice
A-27,10,"[algorithm] Measure LDH, haptoglobin, reticulocyte count -> Abnormal: consider hemolysis, dyserythropoiesis; Normal: Gilbert's syndrome, Crigler-Najjar type I or II",Work-up of isolated indirect hyperbilirubinaemia,29 Jaundice,354,"Fig 29.1 p354: indirect branch lists drugs, inherited (Gilbert, Crigler-Najjar), hemolytic disorders, but no steps (searched: haptoglobin, hematoma, transfusion)","For isolated indirect hyperbilirubinaemia: fractionate bilirubin, check for recent trauma, haematoma or blood transfusion, then measure LDH, haptoglobin and reticulocyte count; abnormal results point to haemolysis/dyserythropoiesis, normal results to Gilbert or Crigler-Najjar I/II.",image-figure,include,include,Stepwise tests are image-only in source and absent from book algorithm.,Ch 29 · Approach
A-28,9,"Increase cholesterol and B lipoproteins. Pruritus, itching and skin xanthoma are common",Obstructive jaundice: lipids,18 Liver Disease Assessment,"246, 353","p246 'Increase cholesterol'; p353 itching, xanthomas; beta-lipoproteins not found (searched: lipoprotein)",Obstructive jaundice raises serum cholesterol and beta-lipoproteins.,text,include,include,Beta-lipoprotein detail only; rest covered.,Ch 18 · Types of jaundice
A-29,"9, 10",Urine bile salts: absent / Present / Present ... Stool color: Dark / Clay / Clay,Three-way comparison of jaundice types,18 Liver Disease Assessment,"245, 246","pp245-246 describe each type in prose; no comparison table; hepatic-jaundice stool colour and urine bile salts in hemolytic/hepatic not stated (searched: clay, bile salts)","Comparison table: haemolytic jaundice - raised indirect bilirubin, raised urobilinogen, no urine bilirubin or bile salts, normal urine, dark stool; obstructive - raised direct, low urobilinogen, urine bilirubin and bile salts present, dark urine, clay stool; hepatic - both raised, urobilinogen up early then down, urine bilirubin and bile salts present, dark urine, clay stool.",image-table,include,include,Book has no side-by-side table; the hepatic-jaundice stool and bile-salt cells are new.,Ch 18 · Types of jaundice
A-30,10,"PT is dependent on normal hepatic synthesis of coagulation factors (I, II,V,VII and X).",Factors measured by PT,18 Liver Disease Assessment,246,"p246: 'coagulation factors' (unspecified) plus vit K-dependent II, VII, IX, X","PT depends on hepatic synthesis of factors I, II, V, VII and X.",text,include,include,Specific list absent.,Ch 18 · Liver function tests
A-31,10,Because these factors have a shorter half life than albumin PT may be an earlier indicator of severe liver injury than albumin,PT vs albumin as marker,18 Liver Disease Assessment,"244, 246","not found (searched: shorter half, earlier indicator, PT prognosis)","Because clotting factors have a shorter half-life than albumin, PT is an earlier indicator of severe liver injury than albumin and helps assess severity and prognosis of chronic liver disease.",text,include,include,Absent.,Ch 18 · Liver function tests
A-32,10,"re-assay of PT after parenteral injection of Vit K, if it is normalize this indicate cholestasis and not decrease liver synthesis",Vitamin K correction test,18 Liver Disease Assessment,"246, 249, 392",p246 PT normalises after parenteral vit K; p249 cirrhosis PT not corrected,-,text,exclude,exclude,Covered.,
A-33,10,"[Table 17.4] Dilated ducts/mechanical obstruction (extrahepatic): Gallstones, Pancreatic carcinoma, Pancreatic duct stricture, Cholangiocarcinoma, Parasite infections",Dilated vs undilated duct causes,29 Jaundice,"352, 390, 391","p352 extra/intrahepatic lists; p390-391 causes incl. parasites, cholangiocarcinoma, cancer pancreas",-,image-table,exclude,exclude,Covered in substance (image table).,
A-34,11,"In primary biliary cirrhosis, raised AMA.",Serum immunoglobulins in PBC,18 Liver Disease Assessment,239,"p239: under 'Serum immunoglobulins': 'In primary biliary cirrhosis, raised IgM.'","In the same immunoglobulin list, the source says PBC shows 'raised AMA' whereas the book says 'raised IgM'.",text,discrepancy,discrepancy,"Same slot, different entity (source HAP 11 vs book p239). Both texts give AMA 95% under autoantibodies.",
A-35,11,"α-Fetoprotein: increased in hepatocellular carcinoma , slightly raised in patients with hepatitis and chronic liver disease.","Additional blood tests (viral markers, AFP, A1AT, autoantibodies, HFE)",18 Liver Disease Assessment,239,p239 reproduces verbatim,-,text,exclude,exclude,Covered.,
A-36,12,"ATP7B mediates the transfer of copper to apoceruloplasmin to form a six-copper binding protein known as ceruloplasmin, which is an α2-globulin.",Ceruloplasmin structure,22 Liver Cirrhosis,"294, 295","p294: copper incorporated into ceruloplasmin (structure not given) (searched: α2, globulin, six)",Ceruloplasmin is an alpha2-globulin formed when ATP7B transfers six copper atoms to apoceruloplasmin; ATP7B also mediates biliary copper excretion.,text,include,include,Six-copper/alpha2-globulin detail absent.,Ch 22 · Cholestatic and metabolic cirrhosis
A-37,12,Around 50%-75% of intestinal copper is absorbed and then transported to the hepatocytes.,Copper absorption fraction,22 Liver Cirrhosis,294,"p294: absorbed mainly from stomach and proximal small intestine, transported bound to albumin (no fraction)",Around 50-75% of intestinal copper is absorbed and transported to the hepatocytes.,text,include,include,Quantitative detail absent.,Ch 22 · Cholestatic and metabolic cirrhosis
A-38,12,"The genetic defect, localized to chromosome 13, has been shown to affect the copper-transporting adenosine triphosphatase (ATPase) gene (ATP7B)",Wilson disease genetics/pathophysiology,22 Liver Cirrhosis,"294, 295","p294-295: AR, ATP7B chr 13, impaired incorporation and biliary excretion, spread to other organs",-,text,exclude,exclude,Covered.,
A-39,12,"They include tremors, difficulty speaking and swallowing, in-coordination, involuntary jerky movements (chorea), personality changes, and even psychosis (such as schizophrenia or manic-depressive illness).",Wilson psychiatric features: psychosis,22 Liver Cirrhosis,295,"p295 psychiatric: personality changes, depression, anxiety, behavioural disturbances, cognitive impairment; psychosis not found (searched: psychosis, schizophren, manic)",Psychiatric involvement in Wilson disease can extend to psychosis resembling schizophrenia or manic-depressive illness.,text,include,include,Psychosis absent from book list.,Ch 22 · Cholestatic and metabolic cirrhosis
A-40,12,The first symptoms result from brain damage.,Wilson: first symptoms neurological,22 Liver Cirrhosis,295,"p295: presents 5-35 y; hepatic, neurological, psychiatric manifestations listed without order",-,text,exclude,exclude,"Source unclear: stated as universal, conflicts with the common hepatic presentation that the book also lists; not added.",
A-41,13,"Gold or greenish gold rings (Kayser-Fleischer rings) may appear around the irises... or the corneo-scleral junction... In a few people, these rings are the first sign",Kayser-Fleischer ring appearance,22 Liver Cirrhosis,"295, 296","p295: copper in Descemet's membrane, slit-lamp, present in nearly all with neurological disease; colour/site/first-sign not found (searched: golden, greenish, first sign)",Kayser-Fleischer rings are gold or greenish-gold (also golden-brown/brownish-green) rings at the corneoscleral junction around the iris; in a few people they are the first sign of Wilson disease.,text,include,include,Descriptive details absent.,Ch 22 · Cholestatic and metabolic cirrhosis
A-42,13,Hemolytic anemia due to the toxic effect of copper on red blood cells.,Wilson haemolysis mechanism,22 Liver Cirrhosis,295,p295: 'Coombs-negative hemolytic anemia' (mechanism not given),The haemolytic anaemia of Wilson disease is due to the toxic effect of copper on red cells.,text,include,include,Mechanism absent; small.,Ch 22 · Cholestatic and metabolic cirrhosis
A-43,13,Serum ceruloplasmin (normally 20 to 35 mg/dL is usually low in Wilson disease.,Ceruloplasmin normal range,22 Liver Cirrhosis,"250, 296",p250: usually low; p296: low (usually <20 mg/dL); normal range not given,Normal serum ceruloplasmin is 20-35 mg/dL.,text,include,include,Reference range absent (consistent with book cut-off <20).,Ch 22 · Cholestatic and metabolic cirrhosis
A-44,13,A diagnosis of Wilson disease is established if the hepatic copper concentration is ≥250 mcg/g dry weight.,"Wilson diagnostic tests (slit lamp, urinary copper, biopsy, serum copper)",18 Liver Disease Assessment,"250, 296, 297",p250 reproduces verbatim (≥250); p297 states '>250 μg/g' (book internally uses both ≥ and >),-,text,exclude,exclude,"Covered; the only difference is book-internal (≥ vs >), not source vs book.",
A-45,1,Patients with decompensated cirrhosis show a continuous low-grade fever which rarely exceeds 38°C.,"General symptoms: fatigability, fever, encephalopathy, endocrine",18 Liver Disease Assessment,"237, 238, 282",p237-238 reproduce; p282 gynecomastia/hypogonadism,-,text,exclude,exclude,Covered.,
B1-01,14,Acute viral hepatitis usually resolve 4 to 8 weeks after symptom onset.,Acute viral hepatitis - expected time to resolution,18 Liver Disease Assessment,"246, 247, 257","p257: icteric stage 2-4 weeks; 'Clinical & biochemical recovery is usual within 6 months'. Not found: 4-8 weeks (searched: '4 to 8 weeks', 'resolve', 'resolution', convalescen)",In the convalescent stage symptoms and icterus resolve and liver enzymes decline to normal; acute viral hepatitis usually resolves 4-8 weeks after symptom onset.,text,include,include,Specific time frame absent; complements book's 6-month upper limit.,Ch 19 · Course and prognosis
B1-02,14,"The most important indicator of prognosis in acute viral hepatitis is impairment in synthetic function, with PT a widely accepted indicator.",Follow-up / prognostic markers in acute hepatitis,18 Liver Disease Assessment,"246, 247, 252","p247/p252: 'PT is prolonged in severe cases'. Not found: PT as main prognostic indicator or 3-second threshold (searched: prognosis, synthetic, prothrombin, INR, '3 seconds', cytosolic); Ch 31 (361-366) has no PT threshold","In acute viral hepatitis the extent of injury is judged by impaired liver function rather than the level of cytosolic enzymes (ALT/AST); PT is the key prognostic indicator, and a PT more than 3 seconds above normal is associated with a poor prognosis.",text,include,include,Prognostic principle and numeric PT threshold absent from book.,Ch 19 · Course and prognosis
B1-03,14,"With hepatitis B and C, cytosolic enzyme activities may return to normal even if viral replication persists; Serologic tests are the only reliable means",Documenting recovery of HBV/HCV,18 Liver Disease Assessment,"247, 248, 259","not found (searched: resolution, 'return to normal', persist, cytosolic). p253 says for HAV liver biochemistry must be followed to normal.","In hepatitis B and C, normalisation of ALT/AST does not prove recovery because viral replication may persist; clearance of infection must be documented serologically (virological markers).",text,include,include,Clinically important interpretive caveat absent.,Ch 18 · Viral hepatitis markers
B1-04,"15, 24",PCR of feces to detect HAV. Can detect illness earlier than serology but is very rarely performed.,HAV direct detection,18 Liver Disease Assessment,"247, 253","p247 and p253: HAV diagnosis only by IgM/IgG/total antibody; Fig 19.1 shows HAV in stool. Not found: HAV PCR (searched: 'PCR', 'feces', 'stool', HAV RNA)",HAV can be detected directly by PCR on faeces; this detects infection earlier than serology but is very rarely performed.,text,include,include,Diagnostic modality not mentioned for HAV in book.,Ch 18 · Viral hepatitis markers
B1-05,15,"IgG provides long-term immunity (protection), whether due to a prior infection by the virus or due to vaccination.",HAV IgG - vaccine vs natural immunity,18 Liver Disease Assessment,"247, 259","p247: IgG present for rest of life; p259: 'HAV IgG: indicates old infection and immunity'. Vaccine-induced IgG not stated (searched: immunity, vaccination, long-term)","HAV IgG gives long-term protection whether it follows natural infection or vaccination, so a positive total anti-HAV can be used to confirm long-term immunity and decide whether vaccination is needed.",text,include,exclude,Minor increment: vaccine-derived IgG and use of total Ab to confirm immunity. Low priority. | Central review: low yield (vaccine-derived IgG immunity implied by book p259).,
B1-06,16,"Present in all body fluids except stool, so spread is by blood or body fluid contact.",HBV - infectious body fluids,19 Acute Hepatitis,"247, 255","p247/p255: parenteral, sexual, perinatal/vertical, household articles. Not found (searched: 'body fluid', saliva, semen, stool)","HBV is present in all body fluids except stool, so spread is by contact with blood or body fluids (it is not faeco-orally transmitted).",text,include,include,Transmission rationale absent.,Ch 19 · Virology and transmission
B1-07,17,"Usually denotes resolving acute infection, but the infection is not completely resolved because HBsAb has not yet detected.",HBV window period - interpretation,18 Liver Disease Assessment,248,"p248: defines window period and that anti-HBc is the only positive marker. Interpretation not found (searched: window, resolving)","An isolated anti-HBc (HBsAg negative, anti-HBs negative) in the window period usually indicates a resolving acute infection that is not yet completely resolved, because anti-HBs has not yet appeared.",text,include,include,Adds clinical meaning of window-period serology.,Ch 18 · Viral hepatitis markers
B1-08,17,HBsAg negative ... Susceptible; ... Immune due to natural infection; ... Immune due to hepatitis B vaccination; ... Acutely infected; ... Chronically infected,HBV serology interpretation table,18 Liver Disease Assessment,"247, 248, 259","p248 text: natural immunity = anti-HBs + anti-HBc; vaccine = anti-HBs only; p259: HBc IgM in acute phase & severe chronic hepatitis. No tabulated panel for susceptible/acute/chronic (checked bookimg p247-249, p255, p259)","HBV panel interpretation: all negative = susceptible; HBsAg+, anti-HBc+, IgM anti-HBc+, anti-HBs- = acute infection; HBsAg+, anti-HBc+, IgM anti-HBc-, anti-HBs- = chronic infection; HBsAg-, anti-HBc+, anti-HBs+ = immune after natural infection; only anti-HBs+ = vaccine immunity.",image-table,include,include,Source image table gives a ready decision panel; book has only parts in prose (susceptible and acute/chronic patterns absent).,Ch 18 · Viral hepatitis markers
B1-09,17,Table 1. Interpretation of hepatitis B markers ... Acute infection ... Chronic infection ... Past infection ... ALT increased (marked) increased (mild-moderate) normal,HBV markers: acute vs chronic vs past,18 Liver Disease Assessment,"248, 259","Not found as a comparison (searched: past infection, anti-HBc IgG, ALT). p250 lists chronic HBV markers.","Acute HBV: HBsAg+, HBeAg+ early then -, IgM anti-HBc+, anti-HBe - early then +, HBV DNA + early then -, marked ALT rise; chronic: HBsAg+, IgG anti-HBc+, HBeAg/anti-HBe/HBV DNA +/-, mild-moderate ALT rise; past infection: anti-HBs+, IgG anti-HBc+, anti-HBe+, HBsAg-, HBV DNA-, normal ALT.",image-table,include,include,"Image table (small, low-res but legible at 110 dpi) adds a side-by-side comparison absent from book; verify cell values on the render before use.",Ch 18 · Viral hepatitis markers
B1-10,17,It can: ... 2- Distinguish active from inactive HBV infection. 3- Monitor a patient's response to anti-HBV therapy.,HBV DNA PCR uses,18 Liver Disease Assessment,"248, 266, 267","p248: PCR monitors replication and response to treatment, detects early infection; Ch 20 p266-267 uses HBV DNA thresholds to separate phases.",-,text,exclude,exclude,Already covered (p248 + Ch 20 phase table).,
B1-11,18,"It is an Enveloped, single stranded-RNA flavivirus. ... Most common cause of transfusion associated hepatitis; sexual transmission is low.",HCV - transfusion-associated hepatitis,19 Acute Hepatitis,"248, 256","p256: flaviviridae, mainly parenteral, low sexual/vertical. Not found: 'transfusion associated', enveloped (searched: transfusion, envelop)",HCV (an enveloped single-stranded RNA flavivirus) is the most common cause of transfusion-associated hepatitis; sexual transmission is low.,text,include,include,Epidemiological fact absent.,Ch 19 · Virology and transmission
B1-12,18,False positive results could be present due to for example: cross reactivity ... False negative results are seen in those with immunodeficiency.,HCV antibody - false positive/negative,20 Chronic Hepatitis B,"248, 272","p272: 'HCV antibody alone is NOT diagnostic of active infection'; p249 PCR for early diagnosis. Not found: false positive cross-reactivity, false negative in immunodeficiency (searched: false, cross, immunodeficien, seroconversion, confirm)","A positive anti-HCV may be a false positive (e.g. cross-reactivity from another infection) and must be confirmed by HCV RNA PCR; a negative anti-HCV does not exclude HCV, since false negatives occur in immunodeficiency and in very early infection before seroconversion, when PCR is needed.",text,include,include,Specific causes of false results absent.,Ch 18 · Viral hepatitis markers
B1-13,18,Anti HCV IgM can not therefore serve as a diagnostic marker of acute HCV infection.,HCV IgM - not diagnostic,18 Liver Disease Assessment,"248, 249","not found (searched: 'IgM' with HCV, anti-HCV IgM)","Unlike HAV and HBV, anti-HCV IgM is not a marker of acute infection: it rarely precedes IgG and may be absent, late or persistent (seen in both acute and chronic phases); acute HCV is diagnosed by HCV RNA PCR.",text,include,include,Useful contrast with other viruses; absent.,Ch 18 · Viral hepatitis markers
B1-14,19,Cause infection only when it is encapsulated with HBsAg.,HDV - dependence on HBsAg,19 Acute Hepatitis,"249, 255","p249/p255: 'defective', 'unable to replicate on its own but is activated in the presence of HBV'. Mechanism (HBsAg coat) not found (searched: encapsulat, coat, envelope)","HDV causes infection only when it is encapsulated with HBsAg, which is why it depends on HBV.",text,include,include,Mechanism behind HBV dependence absent.,Ch 19 · Virology and transmission
B1-15,19,Genotypes 1 and 2 usually cause waterborne outbreaks ... Genotypes 3 and 4 typically cause sporadic cases rather than outbreaks.,HEV genotypes and transmission,19 Acute Hepatitis,"249, 254","p254: enteric, contaminated water, epidemics in developing countries, sporadic in developed countries with farm-animal contact. Not found: genotypes, pork/meat, unenveloped (searched: genotype, pork, meat, enveloped)","HEV (unenveloped ssRNA) has 4 genotypes: genotypes 1 and 2 cause waterborne outbreaks from faecal contamination of water, genotypes 3 and 4 cause sporadic cases; transmission can also be by eating uncooked or undercooked meat such as pork.",text,include,include,Genotype-epidemiology link and food-borne route absent.,Ch 19 · Virology and transmission
